name,region,alias,iso,continent
Afghanistan,Asia,Afghanistan,,as
Albania,Europe,Albania,,eu
Algeria,Africa,Algeria,,af
American Samoa,Oceania,American Samoa,,oc
Andorra,Europe,Andorra,,eu
Angola,Africa,Angola,,af
Antigua and Barbuda,South America,Antigua and Barbuda,,sa
Argentina,South America,Argentina,,sa
Armenia,Asia,Armenia,,as
Aruba,South America,Aruba,,sa
Australia,Oceania,Australia,,oc
Austria,Europe,Austria,,eu
Azerbaijan,Asia,Azerbaijan,,as
BRIC,BRIC,BRIC,,
"Bahamas, The",South America,"Bahamas, The",,sa
Bahrain,Middle East,Bahrain,,
Bangladesh,Asia,Bangladesh,,as
Barbados,South America,Barbados,,sa
Belarus,Europe,Belarus,,eu
Belgium,Europe,Belgium,,eu
Belize,South America,Belize,,sa
Benin,Africa,Benin,,af
Bermuda,South America,Bermuda,,sa
Bhutan,Asia,Bhutan,,as
Bolivia,South America,Bolivia,,sa
Bosnia and Herzegovina,Europe,Bosnia and Herzegovina,,eu
Botswana,Africa,Botswana,,af
Brazil,South America,Brazil,BR,sa
Brunei Darussalam,Asia,Brunei Darussalam,,as
Bulgaria,Europe,Bulgaria,,eu
Burkina Faso,Africa,Burkina Faso,,af
Burundi,Africa,Burundi,,af
Cambodia,Asia,Cambodia,,as
Cameroon,Africa,Cameroon,,af
Canada,North America,Canada,,na
Cayman Islands,South America,Cayman Islands,,sa
Central African Republic,Africa,Central African Republic,,af
Chad,Africa,Chad,,af
Chile,South America,Chile,,sa
China,Asia,China,CN,as
Chinese,Asia,China,,as
Colombia,South America,Colombia,,sa
Comoros,Africa,Comoros,,af
Congo,Africa,Congo,,af
"Congo, Dem. Rep.",Africa,"Congo, Dem. Rep.",,af
"Congo, Rep.",Africa,"Congo, Rep.",,af
Costa Rica,South America,Costa Rica,,sa
Cote d'Ivoire,Africa,Cote d'Ivoire,,af
Croatia,Europe,Croatia,,eu
Cuba,South America,Cuba,,sa
Curacao,South America,Curacao,,sa
Cyprus,Europe,Cyprus,,eu
Czech Republic,Europe,Czech Republic,,eu
Denmark,Europe,Denmark,,eu
Djibouti,Africa,Djibouti,,af
Dominica,South America,Dominica,,sa
Dominican Republic,South America,Dominican Republic,,sa
Ecuador,South America,Ecuador,,sa
